Game Date,Split Type,Away Category,Away Team,Away Wins,Away Losses,Away Win %,Away P/L,Home Category,Home Team,Home Wins,Home Losses,Home Win %,Home P/L
"2025-05-28","OPP DEFENSE","vs Teams Allowing >4.2 Runs","BOS","12","11","52%","-233","vs Teams Allowing >4.2 Runs","MIL","16","16","50%","-298"
"2025-05-28","REST","3rd game without a day off","BOS","16","24","40%","-1032","3rd game without a day off","MIL","22","20","52%","-15"
"2025-05-28","HEAD TO HEAD","vs MIL","BOS","0","1","0%","-100","vs BOS","MIL","1","0","100%","+137"
"2025-05-28","PROJECTED STARTER","when Richard Fitts starts","BOS","0","3","0%","-300","when Aaron Civale starts","MIL","1","1","50%","-13"
"2025-05-28","ALL","All Games","TOR","26","27","49%","-161","All Games","TEX","26","29","47%","-816"
"2025-05-28","LOCATION","On Road","TOR","10","15","40%","-275","At Home","TEX","17","11","60%","+93"
"2025-05-28","STATUS","As Underdog or Even","TOR","17","18","48%","+128","As Favorite","TEX","18","10","64%","+203"
"2025-05-28","MONEY LINE","When Line was +107 to +137","TOR","8","8","50%","+125","When Line was -159 to -129","TEX","5","4","55%","-47"
"2025-05-28","LOCATION & STATUS","As Road Underdog","TOR","9","12","42%","-49","As Home Favorite","TEX","14","5","73%","+389"
"2025-05-28","OPP WIN%","vs Teams That Win 46-54% of Games","TOR","5","12","29%","-731","vs Teams That Win 46-54% of Games","TEX","8","9","47%","-297"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","TOR","6","8","42%","-253","vs Teams Allowing >4.2 Runs","TEX","12","18","40%","-897"
"2025-05-28","REST","3rd game without a day off","TOR","18","18","50%","+33","3rd game without a day off","TEX","19","22","46%","-717"
"2025-05-28","HEAD TO HEAD","vs TEX","TOR","1","0","100%","+116","vs TOR","TEX","0","1","0%","-100"
"2025-05-28","PROJECTED STARTER","when Bowden Francis starts","TOR","4","6","40%","-246","when Nathan Eovaldi starts","TEX","5","6","45%","-156"
"2025-05-28","ALL","All Games","COL","10","44","18%","-2485","All Games","CHC","32","22","59%","+342"
"2025-05-28","LOCATION","On Road","COL","3","23","11%","-1633","At Home","CHC","16","10","61%","-30"
"2025-05-28","STATUS","As Underdog or Even","COL","9","43","17%","-2466","As Favorite","CHC","23","12","65%","+246"
"2025-05-28","MONEY LINE","When Line was +250 to +280","COL","1","5","16%","-243","When Line was -347 to -317","CHC","1","0","100%","+29"
"2025-05-28","LOCATION & STATUS","As Road Underdog","COL","3","23","11%","-1633","As Home Favorite","CHC","14","7","66%","+75"
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","COL","6","24","20%","-1192","vs Teams That Win <46% of Games","CHC","11","6","64%","+33"
"2025-05-28","OPP DEFENSE","vs Teams Allowing >4.2 Runs","COL","5","14","26%","-584","vs Teams Allowing >4.2 Runs","CHC","18","11","62%","+265"
